medicine,median
SULFACETAMIDE-PREDNISOLONE,14.0

DIGOXIN,23.0

CARDURA,11.0

NEOMYCIN-BACITRACIN-POLYMYXIN,15.0

UCERIS,12.0

MOBIC,12.0

FORTESTA,12.5

VALTREX,12.0

BENAZEPRIL HCL,20.0

SUMATRIPTAN,13.0

CARBAMAZEPINE,22.0

METHENAMINE HIPPURATE,18.0

EC-NAPROSYN,13

CIPROFLOXACIN,12

PEDI-DRI,12.0

GLUCOPHAGE,12.0

RECTIV,15.0

ISOSORBIDE MONONITRATE,14.0

METHADONE HCL,25.0

PERIOGARD,14.0

TWINRIX,26.0

COPAXONE,26.0

NORCO,13.0

OXYMORPHONE HCL ER,18.0

FLOVENT HFA,17.0

ZIDOVUDINE,14.0

FOCALIN,12.5

MONONESSA,12.0

GRIS-PEG,12.0

SUBLIMAZE,12

LANSOPRAZOLE,18.0

EPOGEN,15.0

MINIVELLE,16.0

TOBRAMYCIN-DEXAMETHASONE,17.0

MENOSTAR,13.0

GAVILYTE-N,34.0

BACITRACIN-POLYMYXIN,17.0

LISINOPRIL,56.0

METHYLPREDNISOLONE,20.0

REGRANEX,32

VERAPAMIL ER,18.0

CLEOCIN,11.0

PRAVASTATIN SODIUM,33.0

TRIGLIDE,12.5

SYMLINPEN 120,16.0

MONOJECT INSULIN SAFETY SYRNG,18.0

LIDODERM,20.0

EVOXAC,13.0

DIPHENHYDRAMINE HCL,15.0

LYSODREN,12.5

CYCLOBENZAPRINE HCL,22.0

RELPAX,14.0

CLOPIDOGREL,40.0

GABAPENTIN,34.0

IPRATROPIUM-ALBUTEROL,28.0

CLOTRIMAZOLE,17.0

TEMAZEPAM,21.0

MAPROTILINE HCL,12.0

CEFPODOXIME PROXETIL,16.0

BIAXIN,12

TRI-SPRINTEC,13.0

ZOLOFT,12.0

FOLTX,14.0

TOPROL XL,20.0

MEVACOR,12

HYDROCORTISONE-ACETIC ACID,15.0

CAPRELSA,12.0

PENICILLIN G SODIUM,14.0

VESICARE,18.0

ARICEPT,17.0

PROCTOSOL-HC,15.0

SOMA,12.0

NORGESTIMATE-ETHINYL ESTRADIOL,12.0

DRISDOL,12.0

ARESTIN,14.5

MINI ULTRA-THIN II,14

LORTAB,13.0

RELISTOR,14.0

GAMMAGARD S-D,13.0

VALACYCLOVIR,16.0

MAGNESIUM SULFATE,21.0

BACITRACIN,14.5

ACITRETIN,12.5

SRONYX,12.0

SURMONTIL,12.5

TOPCARE CLICKFINE,14.0

BD INSULIN SYRINGE ULT-FINE II,12.5

PROCTOFOAM-HC,12.5

VICODIN,13.0

MEPERIDINE HCL,13.0

CETIRIZINE HCL,13.0

BCG VACCINE (TICE STRAIN),24

AMPICILLIN-SULBACTAM,17.0

JUVISYNC,15.0

SOTALOL AF,14.0

CEDAX,17.0

IMURAN,12.0

SANCTURA,11.5

CLOBETASOL EMOLLIENT,16.0

SILVER NITRATE,11

ROSADAN,11

CLINPRO 5000,13.5

GLYSET,16.0

ATIVAN,12.0

NOVAREL,11

ANAGRELIDE HCL,16.0

GOLYTELY,19.0

PORTIA,12.5

COMBIVIR,12.0

AVELOX ABC PACK,13.5

TARCEVA,18.0

CYPROHEPTADINE HCL,14.0

CEFACLOR,17.0

GAMASTAN S-D,14.5

K-TAB ER,21.0

BACMIN,12.0

VGO 30,16.0

CATAPRES,12.0

DROXIA,13.0

QUETIAPINE FUMARATE,38.0

ICAR-C PLUS,15.5

TRIVORA-28,13.0

TYPHIM VI,26.0

IMIPRAMINE HCL,14.0

PROCARDIA XL,12.0

LODOSYN,17.0

SUMATRIPTAN SUCCINATE,18.0

OLANZAPINE-FLUOXETINE HCL,13.0

ACTIGALL,11.0

ALREX,14.0

AMLODIPINE BESYLATE-BENAZEPRIL,19.0

ELINEST,12.5

FLONASE,11.0

FOLOTYN,13.5

TAZORAC,12.0

LOXAPINE,17.0

CHOLESTYRAMINE LIGHT,13.0

UROXATRAL,12.0

CASODEX,12.0

BROMFENAC SODIUM,13.0

CURITY ALCOHOL PREPS,17.0

OFLOXACIN,18.0

LEVOFLOXACIN-D5W,13.0

LUDENT FLUORIDE,32.0

TUDORZA PRESSAIR,19.0

TESTOSTERONE CYPIONATE,17.0

HYCET,13

INTRALIPID,24.0

NORETHINDRONE ACETATE,14.0

RIFAMPIN,16.0

AGGRENOX,16.0

COARTEM,19.5

NITROLINGUAL,15.0

PHENADOZ,14.0

EXJADE,14.0

CORTISPORIN,11

MIRTAZAPINE,29.0

VERELAN,12.0

METHYLDOPA-HYDROCHLOROTHIAZIDE,12.0

CANTIL,12.0

ZOVIRAX,14.0

RANITIDINE HCL,23.0

POLYETHYLENE GLYCOL 3350,22.0

EDARBI,15.0

APTIVUS,12.0

VOL-CARE RX,11.5

SULFAMYLON,12.0

RAYOS,15.0

NAPHAZOLINE HCL,21.0

DIPYRIDAMOLE,13.0

AFEDITAB CR,13.0

ZIPRASIDONE HCL,30.0

FLAREX,11

NIASPAN,19.0

REMODULIN,13.0

FLUPHENAZINE HCL,21.0

FLUMAZENIL,57

DEXTROSE IN LACTATED RINGERS,15.0

PROSTIGMIN,11

DESIPRAMINE HCL,13.0

ZYMAXID,20.0

XYLOCAINE-MPF,11.0

HYDROXYUREA,27.0

GLUCOPHAGE XR,12.0

STAVZOR,13.0

STAGESIC,11

NAPROXEN,19.0

CHOLINE MAG TRISALICYLATE,11

BD INSULIN SYRINGE ULTRA-FINE,11

COLESTID,12.0

TOFRANIL,11.5

ALTABAX,11

ALCOHOL PREP PADS,16.0

COLESTIPOL HCL,20.0

FINACEA,14.0

ADAPALENE,12.5

SE-TAN DHA,20

SERTRALINE HCL,30.0

AMINOSYN II,29.5

ANASTROZOLE,55.0

PENICILLIN G POTASSIUM,11

HYZAAR,12.0

NOR-Q-D,13

RENAGEL,16.0

DEXTROSE 5%-0.45% NACL-KCL,16.5

DILT-CD,11.5

EDLUAR,13.0

ADRUCIL,12.0

PIOGLITAZONE HCL,21.0

CONCERTA,12.0

SYMLINPEN 60,13.0

NAFCILLIN,16.0

DOCETAXEL,14.0

GLASSIA,13.0

SURE-PREP ALCOHOL PREP PADS,12.0

LAMOTRIGINE ER,15.0

AMIKACIN SULFATE,18.0

BUPROBAN,12.0

VERELAN PM,12.0

FORFIVO XL,12.0

1ST TIER UNIFINE PENTIPS,11.5

PROGESTERONE,18.0

RILUZOLE,18.0

CORVITE FREE,12.0

ETHOSUXIMIDE,12.0

DAPSONE,15.0

DULERA,21.0

LEVAQUIN,14.0

PRAMOSONE,18

VANCOCIN HCL,13.0

DILTIAZEM 24HR ER,23.0

DESOXYN,12.0

VICOPROFEN,12.0

EASY COMFORT PEN NEEDLES,13.0

FLUOROPLEX,15.0

SUPREP,38.0

ALTACE,12.0

LAMIVUDINE,18.0

PROMETHAZINE-DM,16.0

VENOFER,16.0

ONGLYZA,19.0

ITRACONAZOLE,14.0

GAMMAKED,13.5

GRIFULVIN V,13

KADIAN,15.0

GLUCOVANCE,12.0

BARACLUDE,14.0

ERY,19.0

VECTIBIX,12

PRUDOXIN,12.5

SANDIMMUNE,12.0

PREMARIN,18.0

LEVORPHANOL TARTRATE,17.0

DIVALPROEX SODIUM,27.0

POTASSIUM CITRATE,15.0

CALCIUM GLUCONATE,22.0

ANZEMET,17.0

ZAVESCA,13.0

METHADOSE,17.0

CANDESARTAN CILEXETIL,14.0

ULTRAM ER,12.0

OXYCODONE-ACETAMINOPHEN,21.0

AMNESTEEM,15.0

PEN NEEDLES,14.0

AZOR,16.0

PENTAZOCINE-ACETAMINOPHEN,13.0

ZEMPLAR,24.0

ACCUPRIL,12.0

OXACILLIN,13.0

ATOVAQUONE-PROGUANIL HCL,19.0

HYDROCODONE-ACETAMINOPHEN,31.0

ERY-TAB,12.0

LINZESS,17.0

CLORPRES,11.0

VALSARTAN-HYDROCHLOROTHIAZIDE,21.0

TRIFLURIDINE,17.0

CARISOPRODOL COMPOUND,13

BECONASE AQ,12.0

RISPERIDONE,39.0

TARON FORTE,11

CABERGOLINE,16.0

MENACTRA,20.5

EMEND,18.0

GIANVI,13.0

RIOMET,12.0

VASOTEC,12.0

CATAPRES-TTS 1,13.0

METAFOLBIC PLUS,12

VOLTAREN,22.0

DEPAKOTE,13.0

GENGRAF,16.0

PEN NEEDLE,15.0

VSL#3 DS,12

SANCTURA XR,12.0

TRIMIPRAMINE MALEATE,16.0

MEFENAMIC ACID,21

OLANZAPINE ODT,19.0

VOL-NATE,12.0

VIOKACE,11.0

SYLATRON 4-PACK,12.5

ANDROXY,14.0

NEVANAC,16.0

REQUIP,12.0

CARBIDOPA-LEVODOPA,42.0

FEXOFENADINE HCL,14.0

NORPACE CR,12.0

MESALAMINE,14.0

VAQTA,12.0

INDERAL LA,12.0

PREFEST,12.0

BISOPROLOL FUMARATE,20.0

ZOFRAN ODT,11

VALPROIC ACID,15.0

COMBIPATCH,13.0

DILTZAC ER,11.0

VITAMIN D2,19.0

PREVIDENT 5000 PLUS,12.0

CLEOCIN PHOSPHATE,12.0

PENICILLIN GK-ISO-OSM DEXTROSE,13.0

NEFAZODONE HCL,13.0

KEFLEX,12.0

MYAMBUTOL,12

OCTAGAM,13.0

COREG,12.0

TECFIDERA,19.0

MULTIVITAMINS W-FLUORIDE-IRON,13

ISOSORBIDE DINITRATE,16.0

NIFEDICAL XL,17.0

FLUNISOLIDE,15.0

GAVILYTE-C,30.0

NEOMYCIN-POLYMYXIN-DEXAMETH,16.5

CYCLOPENTOLATE HCL,12.0

VENLAFAXINE HCL ER,26.0

LEVITRA,12.0

CLARITHROMYCIN ER,16.0

CARBAMAZEPINE XR,15.0

FML S.O.P.,12

NUCYNTA,17.0

AMARYL,12.0

TERBUTALINE SULFATE,13.0

MICARDIS,15.0

JALYN,14.0

EPIVIR HBV,13.0

ZETIA,24.0

BUPROPION HCL SR,24.0

CEFOXITIN,17.0

DECAVAC,11

CARBIDOPA-LEVODOPA-ENTACAPONE,21.0

CYTOMEL,14.0

LOPERAMIDE,16.0

RIMSO-50,17

TILIA FE,13

AMMONIUM LACTATE,22.0

ARCAPTA NEOHALER,17.5

METFORMIN HCL ER,24.0

KLOR-CON M10,17.0

TOLMETIN SODIUM,15.0

ACETIC ACID,18.0

ADCIRCA,20.0

GENERLAC,15.0

CEFAZOLIN,11

PERPHENAZINE,20.0

ORACEA,13.0

AVELOX,16.0

ZELAPAR,13.0

IFEREX 150 FORTE,12.0

SULFADIAZINE,12.0

SULAR,12.0

NIACIN ER,14.5

VALCYTE,22.0

SANCUSO,16.0

RHEUMATREX,24.5

BINOSTO,12.0

DIPENTUM,12.0

LEVOXYL,20.0

HYDROQUINONE,12

ALDARA,11

AZELASTINE HCL,18.0

ACTONEL,16.0

SANDOSTATIN,12.0

TOPIRAMATE,26.0

HALAVEN,16

VINCASAR PFS,16.0

FENTORA,14.0

ENABLEX,14.0

DIETHYLPROPION HCL,29.0

TRILEPTAL,13.0

RETROVIR,11.5

SF,14.0

JEVTANA,16.0

CHLORHEXIDINE GLUCONATE,20.0

COMPLERA,19.0

BELVIQ,21

UNASYN,22

AZTREONAM,13.5

ANTABUSE,11.0

ROBAXIN-750,11

PRANDIN,18.0

PRILOSEC,13.0

CILOXAN,13.5

SUBSYS,21.0

ZINC SULFATE,12

CLINDAMYCIN PHOSPHATE,16.0

SE-NATAL 19,11

CUBICIN,17.0

ZONISAMIDE,22.0

PLETAL,12.0

TENORMIN,12.0

AMANTADINE,20.0

CALAN SR,12.0

DESFERAL,21

EQUETRO,14.0

ATACAND HCT,12.0

CLOMIPRAMINE HCL,15.0

VITAL-D RX,14.0

ACTIQ,15.0

FENOGLIDE,12.0

NITROFURANTOIN,16.0

NORDITROPIN FLEXPRO,15.0

PARICALCITOL,16.0

TRILYTE WITH FLAVOR PACKETS,25.0

ORTHO-NOVUM,13

LIPTRUZET,20.0

LETAIRIS,19.0

TRI-LEGEST FE,11.0

ARIXTRA,12.0

QUINIDINE GLUCONATE,12.0

PACERONE,18.0

TREXIMET,13.0

METHYLPHENIDATE SR,13.0

ACAMPROSATE CALCIUM,14.5

GLIPIZIDE XL,18.0

RIBAPAK,15.0

"PANCRELIPASE 5,000",12.0

LOVAZA,20.0

PHENTOLAMINE MESYLATE,20.5

ZOLADEX,17

FORTEO,20.0

AMOXAPINE,12.0

BENTYL,12.0

AMPHETAMINE SALT COMBO,22.0

FLUOROURACIL,19.0

HYDREA,12.0

FIORINAL WITH CODEINE #3,13.0

ANUSOL-HC,11

AUBAGIO,17.0

PRIMAXIN,17.0

HYOSCYAMINE SULFATE,13.0

PHOSLYRA,13.0

CANCIDAS,18.5

HUMATROPE,13.0

FERREX 28,12.5

GAMMAPLEX,13.5

ARCALYST,12.0

ORPHENADRINE CITRATE,16.0

DEPACON,12

DORZOLAMIDE HCL,15.0

LANSOPRAZOL-AMOXICIL-CLARITHRO,12

AVAPRO,12.0

KUVAN,12.0

ROCALTROL,27.5

COSOPT PF,16.0

TASIGNA,13.0

PROSCAR,12.0

PROTRIPTYLINE HCL,13.0

TL-HEM 150,12

METROCREAM,12

DEXPAK,14.0

ALFUZOSIN HCL,13.0

LOPRESSOR,12

SPRYCEL,13.0

PROCRIT,19.0

CUVPOSA,11.5

NIZATIDINE,12.0

TIAZAC,12.0

SUPRAX,15.0

INDOMETHACIN,14.0

DEXTROAMPHETAMINE SULFATE,15.0

H.P. ACTHAR,16.0

TYVASO,12.0

MINOCIN,14.0

FLOVENT DISKUS,15.0

GRISEOFULVIN,12

TIMOPTIC OCUDOSE,14.0

MAXIDEX,13

DURAGESIC,13.0

OXYBUTYNIN CHLORIDE,17.0

FLUORIDE,12.0

ZESTORETIC,12.0

ZYPREXA,13.0

THERMAZENE,14.0

GEMFIBROZIL,18.0

CYCLOSPORINE,12.5

PERPHENAZINE-AMITRIPTYLINE,13.0

VAGIFEM,19.0

EMSAM,12.0

SYNAREL,11

CORDRAN,13.0

TEGRETOL,13.0

CORTEF,12.0

ANADROL-50,12

ORTHO-CEPT,13

CAZIANT,12.0

TIVICAY,15.0

LORCET PLUS,11.0

REVLIMID,23.0

IMDUR,12.0

SYPRINE,12.0

ANAFRANIL,12.0

NIFEDIAC CC,13.0

ORTHO TRI-CYCLEN,13

CEREZYME,13.0

COMBIGAN,16.0

REBIF,17.0

SARAFEM,12.0

DIALYVITE,12.0

DACOGEN,16.0

HEMATINIC WITH FOLIC ACID,16

CARBATROL,15.0

DEXILANT,23.0

MAXIPIME,14

CHLORPROMAZINE HCL,19.0

NISOLDIPINE,13.0

DEPLIN,16.0

JUNEL,14.5

PENTASA,16.0

OMNITROPE,14.0

ANAPROX DS,12

MEROPENEM,17.0

GANCICLOVIR SODIUM,14.0

GRALISE,16.5

GEMZAR,14.0

CLODERM,16.5

CALCIUM ACETATE,40.0

VELCADE,16.0

MECLIZINE HCL,18.0

ENTACAPONE,19.0

CONSTULOSE,15.0

LACTATED RINGERS,17.0

ZORTRESS,13.0

PHRENILIN FORTE,16

NORTRIPTYLINE HCL,18.0

ROXICET,14.0

HALFLYTELY-BISACODYL,26.0

PROVIGIL,12.0

CARIMUNE NF NANOFILTERED,15.0

CHLOROQUINE PHOSPHATE,17.0

PEXEVA,13.0

APOKYN,14.0

L-METHYLFOLATE CALCIUM,12.0

AMIFOSTINE,14

CLINDAMYCIN PALMITATE HCL,21.0

CELEBREX,21.0

MEDROXYPROGESTERONE ACETATE,15.0

ACETAMINOPHEN-CODEINE,18.0

TYKERB,12.0

BUPRENORPHINE HCL,20.0

GEMCITABINE HCL,14.0

TORSEMIDE,21.0

CHLORDIAZEPOXIDE-AMITRIPTYLINE,13.0

PREMPHASE,12.0

IBUPROFEN,20.0

KRISTALOSE,14.0

HUMULIN N,18.0

PREDNISOLONE SODIUM PHOSPHATE,12.0

BUDESONIDE EC,18.0

DOVONEX,12.0

NUCYNTA ER,16.0

SUMAVEL DOSEPRO,16.0

MATULANE,12.0

AMPYRA,19.0

ZYVOX,13.0

MICARDIS HCT,14.0

HEXALEN,13.0

CEFEPIME HCL,17.0

BUTORPHANOL TARTRATE,17.0

ELIQUIS,18.0

PHILITH,11.0

CLARINEX-D 12 HOUR,12.0

LEVALBUTEROL CONCENTRATE,29.5

TETANUS DIPHTHERIA TOXOIDS,12.0

ACCUNEB,16

TEVETEN HCT,12.0

LUTERA,13.0

ALCOHOL PADS,16.0

OXYCONTIN,23.0

KEPPRA,17.0

POTASSIUM ACETATE,13

MAXALT MLT,14.0

ORTHO TRI-CYCLEN LO,13.0

EPLERENONE,16.0

DASETTA,12.0

EXFORGE,18.0

FELBATOL,13.0

NOVOLIN N,17.0

LESCOL XL,12.0

TYSABRI,13.0

AZELEX,12.0

HUMALOG MIX 75-25,19.0

CEVIMELINE HCL,16.0

TRICARE,13

VIRT-PN DHA,11

NIFEDIPINE ER,21.0

GALANTAMINE HBR,19.0

ENALAPRIL-HYDROCHLOROTHIAZIDE,13.0

SANDOSTATIN LAR,12.0

DITROPAN XL,12.0

ZYLET,16.5

ELIXOPHYLLIN,14.5

REVATIO,13.0

ENDOCET,19.0

MYCOBUTIN,12.0

PAMIDRONATE DISODIUM,18.0

MULTIGEN PLUS,12.0

DOBUTAMINE HCL,14.0

ZYPREXA ZYDIS,13.0

JAKAFI,13.0

TRIMETHOPRIM,16.0

THALOMID,13.0

KENALOG,12.5

TRIPHROCAPS,13.0

TARKA,12.0

L-MEFOLATE-PYRIDOX-MECOBALAMIN,11.0

EURAX,16.0

XYREM,12.0

GLYCOPYRROLATE,15.0

STANNOUS FLUORIDE,13.0

AVANDIA,13.0

BISOPROLOL-HYDROCHLOROTHIAZIDE,15.0

RIBASPHERE,15.0

OSENI,13.0

FIORICET,12.0

TRIAMCINOLONE ACETONIDE,18.0

SURE COMFORT ALCOHOL,16.0

MODAFINIL,15.0

KALBITOR,35.5

METHYLERGONOVINE MALEATE,15.0

ROXICODONE,13.0

CARBIDOPA-LEVODOPA ER,25.0

TOBI PODHALER,14.0

LOTENSIN,12.0

NOVOLOG MIX 70-30 FLEXPEN,21.0

LITHOBID,12.0

FREAMINE III,23

ZETONNA,14.0

ALCOHOL PREP SWABS,13.0

DICLOFENAC SODIUM-MISOPROSTOL,13.0

FEMCON FE,13.0

GAMUNEX-C,18.0

PREMPRO,13.0

CEPHALEXIN,18.0

ISOPTO CARPINE,11

INDAPAMIDE,15.0

GELNIQUE,13.0

NAFCILLIN SODIUM,14.0

KLOR-CON M15,12.0

CELONTIN,12.0

PREVIDENT 5000 SENSITIVE,14.0

OGESTREL,13.0

DIABETA,12.0

NAFTIN,17.0

SALAGEN,12

COLOCORT,13.0

PACLITAXEL,17.0

TEGRETOL XR,16.0

DEPLIN-ALGAL OIL,12.0

XARELTO,29.0

EPINASTINE HCL,13.0

FELODIPINE ER,15.0

CYTOTEC,12

SUBOXONE,34.0

TRIFLUOPERAZINE HCL,14.0

VANCOMYCIN-D5W,14.0

SONATA,12.0

MOMETASONE FUROATE,17.0

CHLORZOXAZONE,15.0

TAFINLAR,12.0

FOLBEE PLUS CZ,12.0

WELLBUTRIN,12.0

MAGNACET,14.0

FLOMAX,12.0

PEPCID,12.0

CRYSELLE,13.0

NP THYROID,13.5

CHLOROTHIAZIDE SODIUM,15

PROMACTA,13.0

DENTAGEL,12.0

EDECRIN,13.0

NORETHINDRONE,12.0

LOVASTATIN,22.5

KADCYLA,14.0

FOLIVANE-PLUS,11.5

ASTELIN,12.5

MEPROBAMATE,12.0

ZOMIG,13.5

PHENDIMETRAZINE TARTRATE,13

PERSANTINE,11.5

DIFICID,15.0

PHOSPHOLINE IODIDE,13

NOVOLIN 70-30,17.0

CELEXA,12.0

POMALYST,15.0

DEXTROSE IN WATER,23.0

BUTALBITAL-ACETAMINOPHEN-CAFFE,14.0

BACTROBAN,12.5

DEPAKENE,12.0

NITROGLYCERIN PATCH,20.0

MEDROL,12.0

CAMILA,12.0

ALCOHOL WIPES,19.0

STRIANT,12.0

LEVOFLOXACIN,19.0

LUNESTA,16.0

RAZADYNE ER,11.0

ZOSYN,13.5

RIDAURA,15.5

AZOPT,14.0

SINEMET 10-100,11.5

HEMATINIC PLUS,12.5

INVEGA SUSTENNA,28.0

POTASSIUM BICARBONATE,12.0

GENTAMICIN SULFATE,18.0

TACLONEX,15.0

SE-TAN PLUS,11.0

METHADONE INTENSOL,16.0

FIORINAL,13.5

PREVIDENT 5000,14.0

TIKOSYN,23.0

TARGRETIN,13.0

VIGAMOX,15.5

PENICILLIN V POTASSIUM,19.0

PROMETHAZINE-CODEINE,15.0

IMIPENEM-CILASTATIN SODIUM,14.0

SOTALOL,25.0

MEPHYTON,16.0

LIALDA,17.0

SOLU-CORTEF,14.0

NATEGLINIDE,18.0

INTEGRA SYRINGE,67.5

TRI-LINYAH,12.0

AXERT,12.0

RAMIPRIL,25.0

LAMICTAL,16.0

PNV-SELECT,11.0

RESCULA,16.0

TASMAR,17.0

SSKI,35

ZITHROMAX,16.0

METHYLDOPA,13.0

GLUCAGON EMERGENCY KIT,16.0

BETAXOLOL HCL,13.0

OLEPTRO ER,13.0

YASMIN 28,12.5

XYZAL,12.0

BETHANECHOL CHLORIDE,15.0

THEOPHYLLINE,13.0

PROVENTIL HFA,15.0

