medicine,South,Midwest,West,Northeast
b'SEROQUEL XR',3401,2433,1646,2582

b'DIPENTUM',12,8,5,10

b'CATAPRES-TTS 1',11,6,3,11

b'ALCOHOL PREP PADS',69,91,140,251

b'NITROGLYCERIN PATCH',1929,876,631,1268

b'SUCRALFATE',2623,1048,976,1128

b'INDAPAMIDE',652,334,204,305

b'RITALIN-SR',1,1,3,5

b'VIVITROL',11,19,8,16

b'MONTELUKAST SODIUM',7682,3543,3112,4517

b'HALAVEN',0,0,0,1

b'TARCEVA',533,337,352,296

b'METHYLENE BLUE',0,0,1,0

b'CELEXA',23,23,19,39

b'PAMIDRONATE DISODIUM',7,0,4,10

b'UNASYN',1,0,0,0

b'EPITOL',543,369,258,90

b'DEXEDRINE',9,5,19,7

b'SYLATRON',1,1,1,0

b'EASY TOUCH ALCOHOL PREP PADS',2,2,12,0

b'NECON',25,24,18,12

b'CIPRODEX',189,164,108,164

b'PREPOPIK',126,18,31,66

b'RAYOS',6,3,4,2

b'ACTOS',106,29,84,93

b'NOROXIN',5,9,1,4

b'HIPREX',0,0,1,0

b'MEXILETINE HCL',212,113,90,106

b'RIBASPHERE',77,45,29,28

b'PHISOHEX',1,0,0,0

b'OMECLAMOX-PAK',0,0,0,1

b'MOTOFEN',0,1,0,1

b'METHYLPHENIDATE HCL CD',12,20,14,18

b'KRYSTEXXA',2,0,2,0

b'VANCOMYCIN-D5W',2,0,1,3

b'HYDROXYCHLOROQUINE SULFATE',1824,1070,995,1170

b'CLINDAMYCIN PHOS-BENZOYL PEROX',0,0,0,1

b'BILTRICIDE',0,0,1,0

b'PREDNICARBATE',1,0,1,3

b'ENALAPRIL-HYDROCHLOROTHIAZIDE',405,175,47,327

b'ONDANSETRON HCL',3906,1825,1697,1638

b'AXONA',17,4,1,7

b'HALOBETASOL PROPIONATE',65,47,31,105

b'DITROPAN XL',2,0,1,2

b'APIDRA',140,86,63,90

b'ORTHO TRI-CYCLEN',0,0,0,1

b'GAVILYTE-G',411,189,285,179

b'FELBATOL',47,60,36,35

b'CURITY ALCOHOL PREPS',0,1,2,0

b'GLYBURIDE-METFORMIN HCL',1387,393,369,720

b'AZASAN',16,8,3,6

b'PERJETA',1,0,0,1

b'ADVAIR DISKUS',6696,3728,3718,5173

b'CANCIDAS',2,1,3,6

b'VIMOVO',127,38,27,53

b'CLINDAMYCIN-BENZOYL PEROXIDE',2,3,1,2

b'RIMANTADINE HCL',2,1,2,3

b'CILOSTAZOL',2292,1148,778,1138

b'DOXEPIN HCL',2977,1563,1256,1578

b'MORPHINE SULFATE ER',3344,1976,2985,1869

b'ONFI',114,114,73,118

b'NEVIRAPINE',240,83,120,138

b'URSODIOL',1276,758,717,885

b'MOEXIPRIL-HYDROCHLOROTHIAZIDE',116,44,20,26

b'CARBIDOPA-LEVODOPA ER',1393,945,1001,987

b'VICTOZA 2-PAK',490,242,267,280

b'METIPRANOLOL',2,0,3,4

b'MATZIM LA',152,51,43,93

b'EMSAM',18,36,34,35

b'FOLBEE PLUS CZ',4,2,0,3

b'TRI-ESTARYLLA',0,1,0,0

b'SELZENTRY',168,66,100,123

b'VAYACOG',1,0,0,0

b'CYCLOPENTOLATE HCL',0,1,3,1

b'OMEPRAZOLE-SODIUM BICARBONATE',172,57,30,120

b'GAMMAGARD S-D',2,2,1,3

b'BD ULTRA-FINE PEN NEEDLE',3573,1996,1747,2496

b'NYSTATIN',2802,1264,1117,1517

b'SE-TAN DHA',1,0,0,0

b'VIOKACE',2,1,0,4

b'THIORIDAZINE HCL',658,525,332,575

b'CALCIPOTRIENE',61,37,48,101

b'LEVOTHYROXINE SODIUM',17672,8891,10297,10382

b'GALANTAMINE HBR',1032,545,538,583

b'CALCIUM ACETATE',2048,985,1014,1063

b'PHENYTOIN SODIUM EXTENDED',3488,1804,1721,1727

b'UREA',71,27,24,44

b'SILENOR',25,17,20,27

b'WARFARIN SODIUM',13124,7912,6969,9030

b'NAMENDA',6266,3598,3357,4157

b'AMBISOME',1,0,0,0

b'PAROMOMYCIN SULFATE',0,0,0,1

b'NAPROXEN',5112,2570,2651,3033

b'HUMALOG MIX 75-25',931,362,321,687

b'E.E.S. 400',3,1,1,0

b'PROCHLORPERAZINE EDISYLATE',1,1,0,3

b'OLANZAPINE-FLUOXETINE HCL',122,84,28,59

b'SOTALOL AF',263,104,130,128

b'SOMAVERT',14,10,11,12

b'MICARDIS',1246,364,530,713

b'ACCUNEB',0,0,1,0

b'ALZ-NAC',3,0,0,3

b'CIMZIA',290,130,104,130

b'GLUCAGEN',90,55,25,51

b'TL G-FOL OS',0,0,0,1

b'COMBIGAN',210,113,75,186

b'ELIGARD',1,0,1,1

b'RECLAST',4,1,1,2

b'KLOR-CON M20',6409,3336,1807,3372

b'AZTREONAM',1,4,1,6

b'CAZIANT',1,2,0,2

b'SURE-FINE PEN NEEDLES',3,1,0,0

b'CONCEPT DHA',1,0,0,0

b'STAVZOR',35,20,5,16

b'CENTANY',1,0,0,0

b'CLOBETASOL EMOLLIENT',19,3,9,25

b'VANDAZOLE',2,0,0,2

b'IRINOTECAN HCL',3,0,3,12

b'JUXTAPID',6,2,1,0

b'METHENAMINE MANDELATE',7,3,8,4

b'GLUCOVANCE',10,0,6,11

b'PROMETHAZINE VC-CODEINE',1,1,1,1

b'HUMALOG',2371,1453,1513,1845

b'MAGNESIUM SULFATE',12,9,9,19

b'DRONABINOL',353,201,189,194

b'TREANDA',0,0,2,6

b'METHYLPHENIDATE HCL',1973,1994,1306,1832

b'PATANOL',219,167,197,282

b'SULFAMYLON',1,0,2,2

b'OPANA ER',813,236,261,282

b'AMBIEN',76,41,41,133

b'TESTOSTERONE ENANTHATE',32,14,10,23

b'CEFEPIME HCL',150,76,49,47

b'ROWASA',0,2,0,0

b'CARBIDOPA-LEVODOPA-ENTACAPONE',743,369,301,453

b'PROCTOFOAM-HC',6,3,3,0

b'LEVOXYL',368,132,270,381

b'VICOPROFEN',4,1,2,2

b'ACETIC ACID-ALUMINUM',1,3,0,1

b'APIDRA SOLOSTAR',138,73,42,98

b'FLUOROMETHOLONE',36,19,23,13

b'HYDROCODONE-IBUPROFEN',13,3,0,1

b'NARDIL',10,16,2,17

b'TABLOID',1,0,3,0

b'JANUMET',1740,549,684,1320

b'ACYCLOVIR',2017,1172,1671,911

b'KALETRA',568,213,207,373

b'AVONEX ADMINISTRATION PACK',47,49,40,52

b'SINEMET 25-250',4,0,4,5

b'CHORIONIC GONADOTROPIN',2,0,4,2

b'REMODULIN',1,0,1,1

b'PRAMIPEXOLE DIHYDROCHLORIDE',3279,2002,1860,1611

b'KLOR-CON-EF',13,7,6,3

b'SUCLEAR',3,0,0,4

b'CLOBETASOL PROPIONATE',1335,589,775,1124

b'TERBUTALINE SULFATE',37,20,25,18

b'BUTRANS',269,131,156,133

b'CELEBREX',5401,2477,2638,3097

b'LEVOCETIRIZINE DIHYDROCHLORIDE',943,289,219,586

b'ELIPHOS',0,1,7,0

b'PROGESTERONE',302,78,302,122

b'HYDROQUINONE',0,0,1,0

b'ABILIFY MAINTENA',68,74,56,55

b'OXAPROZIN',207,120,50,94

b'BACITRACIN-POLYMYXIN',5,1,2,7

b'METHYLPHENIDATE LA',25,39,13,37

b'METHAZOLAMIDE',29,23,16,24

b'INLYTA',30,21,13,23

b'LUER-LOK SYRINGE',0,1,0,0

b'LORAZEPAM',12120,8001,9448,10711

b'LEUPROLIDE ACETATE',1,0,0,0

b'COREG',72,23,24,62

b'MAXZIDE',11,4,1,2

b'PHENELZINE SULFATE',59,76,36,80

b'INTRALIPID',40,7,33,19

b'BINOSTO',2,1,4,1

b'OLEPTRO ER',17,23,7,20

b'ADDERALL',16,20,10,19

b'DONEPEZIL HCL',8346,4665,4339,5635

b'SILVADENE',0,2,0,0

b'PROMETHEGAN',48,8,24,7

b'SUMATRIPTAN',31,19,27,21

b'FML FORTE',1,1,1,1

b'METHYLPREDNISOLONE',5704,2249,1344,2257

b'PRUDOXIN',1,1,0,2

b'DEXAMETHASONE INTENSOL',0,0,0,1

b'MENOMUNE-A-C-Y-W-135',0,0,1,1

b'PROPANTHELINE BROMIDE',10,5,5,4

b'TAPAZOLE',1,0,0,3

b'COMTAN',89,52,73,60

b'VICTOZA 3-PAK',1018,489,435,639

b'ARESTIN',23,2,1,4

b'ERYPED 400',7,4,1,2

b'ETHOSUXIMIDE',67,56,32,48

b'NITROMIST',0,0,0,1

b'METAXALONE',416,172,100,180

b'ORACEA',20,4,25,13

b'ALTOPREV',4,3,2,4

b'CORGARD',11,4,1,14

b'STROVITE PLUS',0,0,0,2

b'TETRACYCLINE HCL',0,0,1,1

b'OXSORALEN-ULTRA',1,0,0,0

b'RESCULA',1,0,0,1

b'METHOCARBAMOL',2525,833,1124,596

b'PEXEVA',59,25,10,30

b'PEGASYS',123,58,74,67

b'OXAZEPAM',229,175,132,220

b'QUALAQUIN',8,2,3,8

b'HEXALEN',1,0,0,2

b'HYDROCORTISONE VALERATE',104,49,24,200

b'CLOMIPRAMINE HCL',690,741,405,884

b'TRILYTE WITH FLAVOR PACKETS',498,436,295,241

b'LINZESS',633,216,174,308

b'METOZOLV ODT',1,2,0,2

b'EC-NAPROSYN',0,0,0,1

b'CRYSELLE',33,18,13,27

b'VOLTAREN-XR',0,0,0,1

b'NATAZIA',1,0,0,0

b'PROLEUKIN',1,0,0,0

b'DANAZOL',55,23,22,24

b'METADATE CD',8,8,5,2

b'PHENYTEK',44,25,15,41

b'ILEVRO',1,2,2,1

b'SPORANOX',1,7,4,0

b'FLUDROCORTISONE ACETATE',1344,683,653,690

b'HYPERCARE',0,1,1,2

b'SULFASALAZINE',989,782,583,502

b'RITUXAN',22,1,14,19

b'PERFOROMIST',13,7,5,14

b'ERY',0,0,0,3

b'AMERGE',5,0,3,2

b'DISOPYRAMIDE PHOSPHATE',77,42,45,63

b'OSMOPREP',88,22,28,35

b'PARICALCITOL',136,47,46,47

b'BUTALBITAL-ACETAMINOPHEN-CAFFE',72,11,10,73

b'MESALAMINE',31,34,28,53

b'NEXIUM I.V.',0,1,2,2

b'ALOCRIL',1,0,4,1

b'MISOPROSTOL',333,163,146,129

b'LEVEMIR',1737,715,669,704

b'CLINIMIX E',0,0,1,1

b'JAKAFI',124,81,91,85

b'ROBINUL FORTE',2,0,0,0

b'RENACIDIN',0,0,0,1

b'TORSEMIDE',2662,1548,705,1629

b'HYDROCHLOROTHIAZIDE',15990,8233,8427,10127

b'OCELLA',9,6,7,12

b'PREMARIN',2985,1136,1651,1042

b'PLAQUENIL',44,22,18,42

b'METOPROLOL-HYDROCHLOROTHIAZIDE',89,44,17,53

b'ALOXI',5,2,1,26

b'LOW-OGESTREL',20,15,11,12

b'DICYCLOMINE HCL',3101,1408,1038,1455

b'GELNIQUE',20,9,9,26

b'BUSPIRONE HCL',6109,3814,3352,4139

b'PHENTOLAMINE MESYLATE',0,2,0,0

b'PROLENSA',3,1,2,0

b'CARNITOR SF',0,0,0,2

b'DERMOTIC',1,0,1,0

b'FOSINOPRIL-HYDROCHLOROTHIAZIDE',66,15,10,42

b'KETOPROFEN',161,62,81,103

b'TYKERB',51,21,19,15

b'AMOXICILLIN',20433,14260,12601,13272

b'CYTRA-K',3,4,3,3

b'OB COMPLETE ONE',0,1,0,0

b'HEMATINIC WITH FOLIC ACID',1,0,0,0

b'ELMIRON',100,51,41,52

b'BENZONATATE',95,57,4,80

b'HALFLYTELY-BISACODYL',210,70,74,173

b'TYZEKA',3,0,3,2

b'ESTRADIOL VALERATE',5,0,4,1

b'DEXILANT',4402,1219,1785,2130

b'ALDACTONE',8,2,4,8

b'NAPROSYN',1,2,0,1

b'VIDEX',1,0,0,1

b'ENDOCET',828,181,332,661

b'FERREX 150 FORTE PLUS',4,3,0,6

b'L-METHYL-B6-B12',15,2,2,16

b'NORVASC',97,64,72,147

b'ORTHO-NOVUM',1,0,0,0

b'LEUKINE',6,4,5,3

b'SUSTIVA',494,203,211,396

b'NALTREXONE HCL',222,425,184,402

b'ATIVAN',21,20,19,70

b'REYATAZ',746,321,347,601

b'IMIQUIMOD',69,28,83,74

b'LETAIRIS',267,115,131,111

b'MINOCIN',0,0,1,1

b'FENOFIBRATE',6965,3310,2802,3710

b'MONONESSA',14,16,7,11

b'AMITIZA',1886,701,704,1067

b'ROCALTROL',3,8,131,2

b'CILOXAN',2,4,0,2

b'VYVANSE',583,472,197,392

b'MOBIC',7,10,3,9

b'ZEMAIRA',53,19,20,17

b'ALPRAZOLAM INTENSOL',0,0,1,2

b'ABILIFY DISCMELT',21,14,13,33

b'ENULOSE',157,124,109,213

b'DESONATE',0,0,0,1

b'DOLOPHINE HCL',0,0,1,0

b'COLESTID',3,3,1,5

b'EASY-TOUCH INSULIN SYRINGE',30,2,6,6

b'CEFAZOLIN',0,0,1,0

b'ZOLEDRONIC ACID',13,0,5,26

b'QUESTRAN LIGHT',0,0,0,1

b'AMPICILLIN-SULBACTAM',19,15,13,28

b'COZAAR',50,25,45,80

b'MARCAINE',0,0,1,0

b'MORPHINE SULFATE',1609,926,1167,1029

b'CHOLINE MAG TRISALICYLATE',1,0,0,0

b'EPLERENONE',553,303,304,482

b'NEOMYCIN-POLYMYXIN B',1,0,2,0

b'ADACEL TDAP',13,30,60,26

b'KINERET',18,4,12,11

b'HYDROCORTISONE BUTYRATE',19,14,24,18

b'PULMICORT FLEXHALER',141,150,119,216

b'DOXYCYCLINE HYCLATE',4872,2510,1896,2284

b'MOEXIPRIL HCL',124,61,36,44

b'VENLAFAXINE HCL ER',8195,5432,5318,6411

b'CLINISOL',16,9,70,8

b'PENTAZOCINE-ACETAMINOPHEN',17,4,2,1

b'SULFAMETHOXAZOLE-TRIMETHOPRIM',8385,4184,3595,3444

b'MONO-LINYAH',0,4,3,0

b'AZASITE',11,16,7,8

b'LASIX',67,27,13,47

b'TERAZOSIN HCL',2547,1389,1992,1659

b'ACAMPROSATE CALCIUM',7,3,3,1

b'JEVTANA',2,0,0,1

b'ABACAVIR',332,119,133,244

b'SODIUM BICARBONATE',3,20,11,30

b'PNV-SELECT',0,1,0,1

b'VGO 20',11,5,0,10

b'SURE COMFORT ALCOHOL',12,26,24,42

b'PERCOCET',64,10,22,128

b'NOXAFIL',13,11,15,9

b'PROLIA',135,23,141,111

b'ALDACTAZIDE',5,3,4,3

b'NORPRAMIN',3,2,5,7

b'CEFOXITIN SODIUM',1,0,0,0

b'ESTAZOLAM',81,43,24,26

b'PRIMIDONE',2448,1481,1235,1420

b'DILACOR XR',0,0,0,1

b'FLUVASTATIN SODIUM',57,38,25,46

b'DOCETAXEL',5,1,3,12

b'LYSTEDA',0,0,1,0

b'ANZEMET',0,0,1,1

b'TRAMADOL HCL-ACETAMINOPHEN',1506,502,266,950

b'ANDROGEL',943,455,676,656

b'FLUCONAZOLE IN DEXTROSE',1,0,0,2

b'NORDITROPIN FLEXPRO',30,22,30,18

b'KLOR-CON M10',2379,1189,710,1301

b'FORTICAL',116,69,121,76

b'QUINIDINE SULFATE',15,5,3,5

b'LUPRON DEPOT',27,14,15,47

b'FEMCON FE',0,1,0,1

b'VIRACEPT',124,34,37,92

b'BETASERON',331,269,131,178

b'LAMOTRIGINE',7208,5088,5219,6453

b'OMNITROPE',23,13,20,5

b'METHADONE HCL',1811,1029,1590,1041

b'ALSUMA',2,0,1,0

b'TYSABRI',34,9,12,33

b'DILAUDID-HP',0,0,1,0

b'TROPICAMIDE',0,2,1,3

b'SRONYX',3,2,6,1

b'NUTROPIN AQ',11,4,11,4

b'CHLORDIAZEPOXIDE HCL',171,134,40,104

b'HYOSCYAMINE SULFATE',62,14,22,53

b'ZIAGEN',43,24,22,43

b'CYPROHEPTADINE HCL',416,137,70,159

b'ULTRA COMFORT',150,95,94,47

b'METHYLDOPA',125,52,44,72

b'BISOPROLOL FUMARATE',1160,462,404,735

b'ROBAXIN-750',0,0,0,1

b'AZACTAM',1,3,0,0

b'CLIMARA',19,7,42,20

b'CAMILA',13,4,6,17

b'DIDANOSINE',107,51,29,82

b'GLIMEPIRIDE',5554,2349,2058,2953

b'FARESTON',16,6,6,5

b'HECORIA',7,2,8,2

b'GALANTAMINE HYDROBROMIDE',3,0,0,4

b'ELIQUIS',749,295,256,320

b'LABETALOL HCL',3012,1230,1062,2182

b'POTASSIUM CITRATE',320,246,208,267

b'DEPO-ESTRADIOL',2,0,2,0

b'TIMOPTIC',0,0,0,1

b'UNIRETIC',1,0,0,2

b'DESONIDE',416,181,206,227

b'DDAVP',2,5,2,6

b'DUETACT',12,0,7,4

b'CANASA',135,97,69,199

b'NEPHRON FA',0,5,0,0

b'PFIZERPEN',3,4,2,3

b'TARON FORTE',1,0,0,0

b'DACOGEN',1,0,2,0

b'DELZICOL',260,258,105,260

b'CARDENE SR',5,1,0,0

b'ZANAFLEX',11,6,4,9

b'FORTEO',729,358,430,470

b'TRELSTAR',5,0,2,0

b'LINDANE',2,0,0,0

b'DESOXYN',1,2,7,2

b'STALEVO 200',46,28,25,22

b'MEFLOQUINE HCL',1,1,5,4

b'PRISTIQ ER',2566,1481,983,1191

b'ZONISAMIDE',1209,856,616,740

b'DIOVAN HCT',805,149,363,571

b'TREZIX',7,0,0,0

b'ARMOUR THYROID',248,116,189,155

b'NAPRELAN',27,1,7,7

b'POTASSIUM ACETATE',0,1,0,0

b'REVLIMID',1122,632,575,623

b'PARCOPA',7,5,6,9

b'DIETHYLPROPION HCL',0,0,0,3

b'IPRATROPIUM BROMIDE',876,582,671,647

b'ANDRODERM',43,31,37,65

b'PRILOSEC',10,6,14,26

b'REBIF REBIDOSE',30,21,8,16

b'CIPRO',0,3,1,4

b'PENICILLIN G POTASSIUM',0,1,0,0

b'NIRAVAM',1,2,0,0

b'MAXALT',21,12,15,20

b'OCTAGAM',4,0,3,8

b'GABITRIL',107,75,40,64

b'AMTURNIDE',14,3,3,4

b'CINRYZE',9,2,2,4

b'AGGRENOX',1865,766,855,1213

b'EMEND',196,33,47,160

b'ZORTRESS',4,2,9,1

b'CAMBIA',14,3,7,10

b'FUSILEV',1,1,1,3

b'MEFENAMIC ACID',0,0,0,1

b'PICATO',11,1,4,4

b'CREON',946,459,598,730

b'ZATEAN-PN',0,0,0,1

b'NORGESTIMATE-ETHINYL ESTRADIOL',22,8,11,34

b'DIAMOX SEQUELS',3,1,1,1

b'BUTALBITAL-ASPIRIN-CAFFEINE',3,5,0,7

b'BOOSTRIX TDAP',22,16,22,20

b'ETHAMBUTOL HCL',257,133,153,112

b'CYCLESSA',0,1,0,0

b'ZARAH',8,5,6,4

b'NITROGLYCERIN',102,32,29,49

b'DOVONEX',2,1,3,4

b'LOTENSIN',7,3,3,1

b'ESTRACE',556,200,313,351

b'IMIPENEM-CILASTATIN SODIUM',29,13,15,16

b'ZOMETA',7,0,4,16

b'X-VIATE',18,5,4,7

b'TRIHEXYPHENIDYL HCL',1790,1404,1275,1353

b'MAPROTILINE HCL',16,18,10,13

b'PAXIL',36,15,30,60

b'MENACTRA',1,0,1,0

b'PRAVACHOL',7,4,7,11

b'ZESTRIL',16,8,6,22

b'ZOVIA 1-35E',5,4,9,13

b'TOPCARE CLICKFINE',1,0,1,0

b'PROMETHAZINE HCL',6053,1045,1196,500

b'ERYTHROMYCIN',258,150,135,243

b'OMNARIS',21,5,11,11

b'AVIANE',17,11,9,24

b'PROCHLORPERAZINE MALEATE',1630,1459,1245,1399

b'TUSSIONEX',3,1,0,1

b'ZENCHENT',3,3,0,0

b'HYDROCODONE-ACETAMINOPHEN',30297,16375,17955,10178

b'TRAMADOL HCL',15993,7921,6462,6816

b'TYGACIL',31,8,10,7

b'ZOLPIMIST',2,1,0,0

b'FAZACLO',175,300,230,142

b'ANDROXY',6,3,3,1

b'WELLBUTRIN SR',19,29,27,59

b'CEFEPIME',5,0,3,4

b'FELBAMATE',88,97,61,63

b'KENALOG-40',7,8,6,6

b'BRILINTA',724,271,176,335

b'PRODIGY INSULIN SYRINGE',3,0,0,0

b'ATACAND',148,58,66,119

b'ACETAZOLAMIDE',361,229,175,237

b'TECFIDERA',148,133,110,134

b'IXEMPRA',1,0,1,0

b'CLOZAPINE ODT',64,211,98,125

b'VERAPAMIL HCL',956,375,354,488

b'ATRIPLA',860,396,384,657

b'DYAZIDE',19,12,12,8

b'TRI-PREVIFEM',13,9,0,11

b'DUTOPROL',4,0,2,1

b'MODAFINIL',1093,844,600,880

b'DOXY 100',0,0,1,1

b'EXFORGE HCT',622,96,147,242

b'DEXTROSE 5%-1/2NS-KCL',0,1,0,0

b'PROTRIPTYLINE HCL',57,56,21,29

b'SPRIX',3,0,3,0

b'LEVATOL',5,1,0,0

b'INDOCIN',0,2,0,0

b'TOBRAMYCIN',29,37,23,41

b'AFEDITAB CR',110,26,63,23

b'CROMOLYN SODIUM',20,13,40,40

b'EMCYT',8,0,3,1

b'CORVITE FE',0,0,0,3

b'DEXTROAMPHETAMINE-AMPHETAMINE',1117,1194,551,1158

b'METRONIDAZOLE',3019,1135,957,1246

b'VIIBRYD',1114,942,407,606

b'GLUCOTROL',2,1,0,4

b'OPIUM TINCTURE',16,21,12,28

b'MYZILRA',4,1,1,2

b'CARDURA',9,0,1,5

b'DENTA 5000 PLUS',47,51,31,73

b'VANCOCIN HCL',0,0,0,3

b'KLOR-CON 10',3236,1647,1549,1418

b'FLUORIDE',0,1,1,1

b'METOCLOPRAMIDE HCL',3399,1538,1555,1563

b'TL-HEM 150',1,0,0,0

b'SIMVASTATIN',18317,10007,10365,12253

b'TENORETIC 50',1,0,0,2

b'NIACIN ER',300,97,101,130

b'HEMATOGEN',0,0,0,1

b'METANX',14,5,0,36

b'BRIMONIDINE TARTRATE',311,166,209,344

b'AMANTADINE',1565,1151,982,1218

b'OXYMORPHONE HCL',208,79,69,81

b'VOL-NATE',1,0,0,1

b'ALDARA',1,0,0,0

b'VAQTA',1,2,1,0

b'ZARONTIN',7,5,3,4

b'BUPROPION HCL',1580,1023,1171,1368

b'DEPAKOTE SPRINKLE',49,63,28,56

b'AVODART',1208,481,746,808

b'LANOXIN',514,165,246,236

b'ALCOHOL SWABS',14,25,24,272

b'DIANEAL WITH 1.5% DEXTROSE',0,0,2,0

b'V-C FORTE',2,2,0,0

b'CARBAMAZEPINE',4121,2752,2346,2943

b'TRIGLIDE',3,2,1,4

b'CYCLAFEM',10,6,6,4

b'FALMINA',0,1,2,0

b'SAVELLA',864,422,292,303

b'EASY TOUCH',122,43,32,92

b'NEOMYCIN-BACITRACIN-POLYMYXIN',1,1,1,0

b'QUESTRAN',0,0,1,2

b'TRIVORA-28',11,4,4,9

b'CLONIDINE HCL',10122,4331,4018,4450

b'PERMETHRIN',125,28,98,72

b'GLUCAGON EMERGENCY KIT',255,168,94,122

b'OXYCODONE-ACETAMINOPHEN',6851,3548,4039,7213

b'SINEMET 25-100',16,15,17,44

b'PREDNISOLONE ACETATE',195,115,106,148

b'NEPHRO-VITE RX',2,0,3,3

b'ORTHO-CEPT',0,0,0,1

b'MICROGESTIN',16,7,12,8

b'PRENATAL PLUS',168,190,133,37

b'NEORAL',64,44,29,43

b'TRINESSA',35,25,15,9

b'MICARDIS HCT',815,198,219,438

b'TRIBENZOR',429,88,140,204

b'CLINPRO 5000',1,1,0,2

b'NULOJIX',1,0,0,0

b'STERILE PADS',0,1,0,0

b'RENAL CAPS',52,27,2,25

b'SOVALDI',1,0,0,1

b'SYLATRON 4-PACK',1,0,0,1

b'ROXICODONE',17,4,1,10

b'AMPHETAMINE SALT COMBO',2666,1968,1427,2003

b'MUPIROCIN',2653,876,856,1364

b'PROMETHAZINE VC',38,12,13,24

b'LESCOL XL',92,58,32,118

b'JUNEL',11,9,4,10

b'QUININE SULFATE',21,9,5,17

b'TRIMIPRAMINE MALEATE',2,4,0,0

b'GAMMAGARD LIQUID',162,83,120,114

b'INVEGA',1636,1419,761,1064

